codigo,codbarras,descrip1art
677144727317,677144727317,LOSARTAN 100MG X12.5MG X30 TAB PHARMALAB
677144727379,677144727379,SUCRALFATO 1GR/5ML X100ML PHARMALAB
678112736454,678112736454,CLEAR EYES LAGRIMAS NATURALES GOTAS 15ML
NULL,678358669530,OMEGA 3 X 30 CAP NATURISTIK
6811291256816,6811291256816,CENTRUM ADVANCE BLUE X 30 GRAGEAS
685239846843,685239846843,COLAGANO HIDROLIZADO X 60 CAPS NATURISTI
685239846881,685239846881,BIOTINA COMPLEX X 30 TAB NATURISTA
68906005117861,68906005117861,SECNIDAZOL 1G X 2 TAB DROTACA
6905127114019,6905127114019,SOLUCION RINGER LACTATO 500 ML
NULL,6905127114064,SOLUCION FISIOLOGICA 0.9 % 500 ML
69218,69218,BENCILPENICILINA BENZATINICA 120.0000
NULL,6921875006727,VITAMINA C 500MG/5ML I.M/I.V (DETALLADA)
6921875008530,6921875008530,ACETAMINOFEN 500MG X10 TABL KMPLUS
6921875009179,6921875009179,COMPLEJO B X 3 AMP I.V./I.M ZAKIMED
6921875009728,6921875009728,AMOXICILINA ACID/CLAVU 875MG/125X14 TAB
6921875009889,6921875009889,PENICILINA G 1.200.000 UN FAHD
6921875009896,6921875009896,BENCILPENICILINA BENZATICA 2400000 AMP
6921875009902,6921875009902,CEFTRIAXONA 1GR AMP
NULL,6921875010090,DICLOFENAC SODICO 75MG 3ML X 10 AMP
NULL,6921875010762,PENICILINA BENZATINICA 1.200.000 I.M KMP
6921875010779,6921875010779,PENICILINA 2.400.00 UN X1 AMP KMPLUS
6921875010793,6921875010793,CEFEPIME 1 GR  AMP KMPLUS
6921875010847,6921875010847,MEMANTINA 10MG X14 TAB KMPLUS
6921875010878,6921875010878,METRONIDAZOL 500MG X 10 TAB KMPLUS
NULL,6921875011134,AMOXICILINA 500MG X 10 CAPS
NULL,6921875011141,AMPICILINA 500MG X 10
6921875011172,6921875011172,OMEPRAZOL 20MGX10 CAP KMPLUS
6921875011400,6921875011400,BROMURO DE IPATROPIO 20MCG X 200 DOSIS
NULL,6921875011653,CEFALEXINA 500MG X 10 TAB KMPLUS
NULL,6921875011929,ESPIROLACTONA 25MG 10TAB KMPLUS
NULL,6921875011936,ESPIRONOLACTONA 25 MG X 20 TAB KMPLUS
69218750124761,69218750124761,OMEPRAZOL 20MG X 10 CAP ZAKIMED
6921875012650,6921875012650,CEFADROXILO 250 MG 60 ML KMPLUS
NULL,6921875012667,DICLOFENAC `POTASICO 25MG/5ML SUP 60ML
69218750504781,69218750504781,OMEPRAZOL 40MG AMP ZAKIMED
6921875051451,6921875051451,VANCOMICINA 1GR X1 AMP I.V  DROGECA
69218750516731,69218750516731,AMOXICILINA 500 MG X10CAP ZAKIMED
69218750516801,69218750516801,AMOXICILINA+ACIDO CLAV 1 GR ZAKI
69218750516971,69218750516971,ACETAMINOFEN 500MG X10 TABL ZAKIMED
69218750517031,69218750517031,METRONIDAZOL 500MG X 10TAB ZAKIMED
NULL,69218750517101,CIPROFLOXACINA 500MG X10 TAB ZAKIMED
69218750517341,69218750517341,SALBUTAMOL INHA 100MCG/200 DOSIS ZAKIMED
6925881203613,6925881203613,LEVOFLOXACINA 500MG/100ML AMP DROTAFARMA
NULL,6930169708193,METRONIDAZOL 500ML/100ML IV BLUE MEDICAL
6936292193813,6936292193813,PENICILINA 1.200.000 AMP X1 DROTAFARMA
6936292193912,6936292193912,CEFTRIAZONA 1G
6939364643629,6939364643629,CLORURO DE SODIO 0.9 X100ML BIOMEDIC
6942189211294,6942189211294,FLUCONAZOL 150 MG X 2 CAP KMPLUS
6942189211324,6942189211324,ACICLOVIR 5% CREMA TOPICA 5GR KMPLUS
6942189211331,6942189211331,CLOTRIMAZOL CREMA TOPICA 20GR
6942189211362,6942189211362,SOL RINGER LACTATO X500ML KMPLUS
6942189211379,6942189211379,SOLUCION DEXTROSA 5 % X 500ML
6942189304156,6942189304156,DICLOFENAC SODICO 50MG X10 KMPLUS
6942189304170,6942189304170,HIDROCLOROTIAZIDA 25MG X10 TABL KMPLUS
6942189304309,6942189304309,HIDROCORTISONA CREMA 1% X 15G KMPLUS
6942189304330,6942189304330,AMOXICILINA SUSP 250     MG/100ML PED K
6942189304613,6942189304613,METFORMINA 500MG X10 TAB KMPLUS
