codigo,codbarras,descrip1art
NULL,7591585278173,AMLODIPINA COMP 10MG X 30 GENVEN
NULL,7591585278265,CARBAMAZEPINA COMPDO 200MGX30 GENV
NULL,7591585278920,LOSARTAN POTASICO 100MG X10 COMP GENVEN
NULL,7591585278951,LOSARTAN POT COMPR 50MG X30 GENVEN
NULL,7591585279057,ACETAMINOFEN 650MG X 10 COMP GENVEN
NULL,7591585279460,AZITROMICINA COMPDO 500MGX5 GENVE
NULL,7591585314864,LETISAN CAPS 500MG X 10
NULL,7591585317025,PREGABALINA 150MG PEGYT X 20 TAB
NULL,7591585318565,TEKRON COMR 200 MG X 10
NULL,7591585319616,ULGARIN CAP 40MGX32
NULL,7591585370167,CAPTOPRIL COMP 25MG X30 GENVEN
NULL,7591585375636,CARVEDILOL COMP 6,25 MG X 30
NULL,7591585375643,CARVEDILOL COMP 12,5 MG X 30 GENVEN
NULL,7591585375872,VALSARTAN 80MG X 14 CAP GENVEN
NULL,7591585376657,ACETAMINOFEN 500 MG X 10 GENVEN
NULL,7591585378736,LOSART-HIDRO 50MG/12.5MGX 15 COMP GENV
NULL,7591585378798,OLMESARTAN MEDOXOMIL 20MG X 14 TAB GENVE
NULL,7591585378804,OLMESALTAR MEDOXONIL 40MGX 14 TAB GENVEN
NULL,7591585378927,LOSARTAN POT GV COMP 100mg x30
NULL,7591585415738,MIGREN COMPR 650MG/50MG/1G X20
NULL,7591585475633,CARVEDILOL 6.25 MG X 15 COMP GENVEN
NULL,7591585561237,ASAPROL COM 81 MG X 40
NULL,7591585616685,ALIVETFORTE NOCHE SOBRE 10 GR
NULL,7591616000902,LECHE DE MAGNESIA 120 ML BIOFARCO
NULL,7591616001657,SULFATIAZOL POLVO SOBRE X5GR BIOFARCO
NULL,7591616001930,EMULSION JBE X 180 ML BIOFARCO
NULL,7591619000541,FLEMIBAR 6.67MG-33.40ML X 20ML ROWE
NULL,7591619000619,ROWELUK 5MG X 10 COMP MONTELUKAST ROWE
NULL,7591619000626,MONTELUKAST ROWELUK 10 ROWE
NULL,7591619000633,DERMOSUPRIL 0.1% LOCION 30ML
NULL,7591619000800,GULAPER JBE PED 100/5ML X 60ML
NULL,7591619001005,NEFROTAL H 100MG/12.5MG ROWE
NULL,7591619001180,NEFROTAL 50MG X 30 COPM ROWE
NULL,7591619002774,COROPRES 32 MG X 30 TAB CANDESARTAN
NULL,7591619517285,ROWELUK 4 MONTELUKAST X30 TAB
NULL,7591619517605,DENUAL COM 150MG X 1 (acido ibandronico
NULL,7591619517803,ZUDENINA FORTE 0.3% GEL MEDIHEALTH
NULL,7591619517858,BETARRETIN CREMA 0.05%
NULL,7591619517940,PLIDAN GOTAS x 20 ml
NULL,7591619518688,MIGRADORIXINA 125MG /1MG ROEMMERSX10
NULL,7591619518695,PLIDAN COMPUESTO COMPDO X 10
NULL,7591619519036,DERMAZOL CREMA 0.05% X 30 GR
NULL,7591619519043,DERMAZOL UNGUENTO 0.05% X 30 GR
NULL,7591619519050,ORLIDIET CAPS 60mg x 30's
NULL,7591619519098,DERMAZOL LOC CAPILAR 0,05% 25ML
NULL,7591619519203,TADALAFILO 5MG X 30 COMP KLINOS
NULL,7591619519227,CICLOKAN 500MG X 21 COMP
NULL,7591619520315,CORENTEL H 5/6,25 X 30
NULL,7591619520353,COROPRES H COM 8MG-12,5MG X 30
NULL,7591619520483,MARTESIA 75MG X 14 CAPS
NULL,7591619520537,RAMIPRES 5 MG X 30
NULL,7591619520865,DERMOSUPRIL 0.05% 15G
NULL,7591619520872,DERMOSUPRIL C CREMA TOPICA 15MG
NULL,7591651722401,MUCORAMA JBE x 118ml
NULL,7591651723651,MUCOLIPTO PEDIATRICO JAB 90ML
NULL,7591651932299,DUVADILAN 10MG X 30 COMP ZUOZ PHARMA
NULL,75916565,VAPORUD 12G
NULL,7591818000090,COFASURE VALSARTAN 80 MG X 30 TAB COFASA
NULL,7591818026366,MIOVIT AMPS 3 ML X 3 COFASA
NULL,7591818111024,AIRFEN GTA PED X 15 ML
NULL,7591818111048,IPALAT SOL X 20 ML
NULL,7591818111123,CELAY SOL GTA PED 10MG X 15 ML
NULL,7591818112021,MUCOBROL JBE X 120 ML
NULL,7591818113028,EUSILEN AMPS 4 MG X 1 (KIT) COFAS
NULL,7591818114001,IPALAT CREM X 20 GR
NULL,7591818116005,EUSILEN COMPDO 4 MG X 8
NULL,7591818116043,CLORACE CAP X 10
NULL,7591818118030,MIOVIT GRAG X 10
NULL,7591818118047,MIOVIT GRAG X 30
NULL,7591818213407,BREXIN 180MG/5ML X 120ML COFASA
NULL,7591818215265,CLORACE TAB 500MG/4MG X20
NULL,7591818222164,EUSILEN COMP 4mg x 15¨s
NULL,7591818251331,MIOVIT SOL GTAS X 20 ML COFASA
NULL,7591818716687,MIOVIT JBE X90 ML S/AZUCAR COFASA
NULL,7591818716700,CLORACE JARABE PED
NULL,7591818716854,OLOCOF 5ML
NULL,7591821101029,CALCIBON D TAB 1500MG X 30
NULL,7591821101692,TERAGRIP JBE PED 120MG X 120 ML
NULL,7591821102101,FARMA D3 TAB 1000UI x 30
NULL,7591821102170,CALCIBON SUPRA MAST X 30 TAB FARMA
NULL,7591821210028,ARUDIL 20MG X 10
NULL,7591821210172,VALPROATO SODICO TAB 500 MG X 10 BLISTER
NULL,7591821210264,COLYPAN TAB 200 MG X 10
NULL,7591821210288,ULCON TAB 1 GR X 20
NULL,7591821210295,SENOKOT C/DOCUSATO TAB X 10
NULL,7591821210332,CRISOMET 50MG 500MG
NULL,7591821210349,CRISOMET 50MG 850MG
NULL,7591821210417,ULCON SUSP X 120 ML
NULL,7591821801004,FEMMEX ULTRA 200mg/30mg x 10ta
NULL,7591821801929,TERAGRIP FORTE NOCHE GRAN DISIPX36
NULL,7591821802322,RINARIS TABR 5MG-60MG X 10
NULL,7591821802391,TERAGRIP FORTE DIA GRAN DISIP X 36
NULL,7591821802414,TERAGRIP 24 HORAS TAB 650MG X 4 CO
NULL,7591821802773,FEMMEXTRA CAP 200MG/10MG X 10
